UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Breed_v4,DogSize_v4,DogType_v4,ZipCode_v4,GeoPoint_v4
"124,March 22 2018,DOG,PUGGLE,9,M,FALSE,Brooklyn,""11204"",PUGGLE,small,companion,11204,""40.61871, -73.98492"""
"125,March 25 2018,DOG,ENGLISH STAFFORDSHIRE BULL TERRIER,1,M,TRUE,Brooklyn,""11215"",ENGLISH STAFFORDSHIRE BULL TERRIER,medium,terrier,11215,""40.6626, -73.98678"""
"126,March 23 2018,DOG,MIXED BREED,8,M,TRUE,Brooklyn,""11218"",MIXED BREED,unknown,unknown,11218,""40.64346, -73.97611"""
"129,March 23 2018,DOG,SHIH TZU,13,F,FALSE,Brooklyn,""11209"",SHIH TZU,small,Toy dog,11209,""40.62194, -74.03009"""
"134,March 28 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,F,TRUE,Brooklyn,""11221"",American Pit Bull Terrier Mix,medium,terrier,11221,""40.69136, -73.92787"""
"135,March 29 2018,DOG,SHIH TZU,2,F,FALSE,Brooklyn,""11237"",SHIH TZU,small,Toy dog,11237,""40.70429, -73.92107"""
"136,March 30 2018,DOG,POODLE MIX,11,M,FALSE,Brooklyn,""11226"",POODLE MIX,medium,companion,11226,""40.64639, -73.9568"""
"138,March 31 2018,DOG,MALTESE,11,M,TRUE,Brooklyn,""11215"",MALTESE,small,Toy dog,11215,""40.6626, -73.98678"""
"139,April 04 2018,DOG,MIXED BREED,4,F,FALSE,Brooklyn,""11208"",MIXED BREED,unknown,unknown,11208,""40.66855, -73.87103"""
"140,March 31 2018,DOG,SHIH TZU,3,M,FALSE,Brooklyn,""11234"",SHIH TZU,small,Toy dog,11234,""40.60602, -73.91071"""
"141,March 31 2018,DOG,SIBERIAN HUSKY MIX,4,M,FALSE,Brooklyn,""11214"",SIBERIAN HUSKY MIX,medium,sled dog,11214,""40.59866, -73.99636"""
"142,April 04 2018,DOG,MIXED BREED,10,M,FALSE,Brooklyn,""11207"",MIXED BREED,unknown,unknown,11207,""40.67073, -73.89429"""
"143,April 04 2018,DOG,MIXED BREED,10,M,FALSE,Brooklyn,""11207"",MIXED BREED,unknown,unknown,11207,""40.67073, -73.89429"""
"144,April 03 2018,DOG,MIXED BREED,3,M,FALSE,Brooklyn,""11237"",MIXED BREED,unknown,unknown,11237,""40.70429, -73.92107"""
"145,April 04 2018,DOG,MIXED BREED,3,M,FALSE,Brooklyn,""11237"",MIXED BREED,unknown,unknown,11237,""40.70429, -73.92107"""
"146,March 29 2018,DOG,MIXED BREED,4,M,FALSE,Brooklyn,""11216"",MIXED BREED,unknown,unknown,11216,""40.68075, -73.94937"""
"147,April 04 2018,DOG,MIXED BREED,4,M,FALSE,Brooklyn,""11216"",MIXED BREED,unknown,unknown,11216,""40.68075, -73.94937"""
"148,April 08 2018,DOG,MIXED BREED,2,M,FALSE,Brooklyn,""11249"",MIXED BREED,unknown,unknown,11249,""40.7170, -73.9635"""
"149,April 08 2018,DOG,MIXED BREED,2,M,FALSE,Brooklyn,""11249"",MIXED BREED,unknown,unknown,11249,""40.7170, -73.9635"""
"150,April 07 2018,DOG,Akita,4,M,FALSE,Brooklyn,""11207"",Akita,large,hunting, guardian,11207,""40.67073, -73.89429"""
"151,April 08 2018,DOG,SHIH TZU,3,M,FALSE,Brooklyn,,SHIH TZU,small,Toy dog,NULL,""NULL"""
